Country,Year,Points_type,From,To,Points
dublin-1997,1997,Points given,malta,spain,12
dublin-1997,1997,Points given,malta,turkey,10
dublin-1997,1997,Points given,malta,croatia,8
dublin-1997,1997,Points given,malta,cyprus,7
dublin-1997,1997,Points given,malta,greece,6
dublin-1997,1997,Points given,malta,slovenia,5
dublin-1997,1997,Points given,malta,the netherlands,4
dublin-1997,1997,Points given,malta,germany,3
dublin-1997,1997,Points given,malta,hungary,2
dublin-1997,1997,Points given,malta,united kingdom,1
dublin-1997,1997,Points given,hungary,united kingdom,12
dublin-1997,1997,Points given,hungary,spain,10
dublin-1997,1997,Points given,hungary,ireland,8
dublin-1997,1997,Points given,hungary,poland,7
dublin-1997,1997,Points given,hungary,turkey,6
dublin-1997,1997,Points given,hungary,austria,5
dublin-1997,1997,Points given,hungary,estonia,4
dublin-1997,1997,Points given,hungary,italy,3
dublin-1997,1997,Points given,hungary,france,2
dublin-1997,1997,Points given,hungary,germany,1
dublin-1997,1997,Points given,russia,united kingdom,12
dublin-1997,1997,Points given,russia,slovenia,10
dublin-1997,1997,Points given,russia,spain,8
dublin-1997,1997,Points given,russia,italy,7
dublin-1997,1997,Points given,russia,france,6
dublin-1997,1997,Points given,russia,ireland,5
dublin-1997,1997,Points given,russia,turkey,4
dublin-1997,1997,Points given,russia,austria,3
dublin-1997,1997,Points given,russia,greece,2
dublin-1997,1997,Points given,russia,cyprus,1
dublin-1997,1997,Points given,denmark,united kingdom,12
dublin-1997,1997,Points given,denmark,ireland,10
dublin-1997,1997,Points given,denmark,estonia,8
dublin-1997,1997,Points given,denmark,cyprus,7
dublin-1997,1997,Points given,denmark,sweden,6
dublin-1997,1997,Points given,denmark,poland,5
dublin-1997,1997,Points given,denmark,italy,4
dublin-1997,1997,Points given,denmark,malta,3
dublin-1997,1997,Points given,denmark,spain ,2
dublin-1997,1997,Points given,denmark,france,1
dublin-1997,1997,Points given,france,united kingdom,12
dublin-1997,1997,Points given,france,ireland,10
dublin-1997,1997,Points given,france,estonia,8
dublin-1997,1997,Points given,france,slovenia,7
dublin-1997,1997,Points given,france,turkey,6
dublin-1997,1997,Points given,france,hungary,5
dublin-1997,1997,Points given,france,cyprus,4
dublin-1997,1997,Points given,france,poland,3
dublin-1997,1997,Points given,france,spain,2
dublin-1997,1997,Points given,france,malta,1
dublin-1997,1997,Points given,croatia,united kingdom,12
dublin-1997,1997,Points given,croatia,italy,10
dublin-1997,1997,Points given,croatia,malta,8
dublin-1997,1997,Points given,croatia,greece,7
dublin-1997,1997,Points given,croatia,ireland,6
dublin-1997,1997,Points given,croatia,germany,5
dublin-1997,1997,Points given,croatia,cyprus,4
dublin-1997,1997,Points given,croatia,slovenia,3
dublin-1997,1997,Points given,croatia,hungary,2
dublin-1997,1997,Points given,croatia,bosnia & herzegovina,1
dublin-1997,1997,Points given,united-kingdom,ireland,12
dublin-1997,1997,Points given,united-kingdom,estonia,10
dublin-1997,1997,Points given,united-kingdom,hungary,8
dublin-1997,1997,Points given,united-kingdom,sweden,7
dublin-1997,1997,Points given,united-kingdom,iceland,6
dublin-1997,1997,Points given,united-kingdom,cyprus,5
dublin-1997,1997,Points given,united-kingdom,turkey,4
dublin-1997,1997,Points given,united-kingdom,italy,3
dublin-1997,1997,Points given,united-kingdom,denmark,2
dublin-1997,1997,Points given,united-kingdom,croatia,1
dublin-1997,1997,Points given,iceland,cyprus,12
dublin-1997,1997,Points given,iceland,france,10
dublin-1997,1997,Points given,iceland,united kingdom,8
dublin-1997,1997,Points given,iceland,turkey,7
dublin-1997,1997,Points given,iceland,denmark,6
dublin-1997,1997,Points given,iceland,hungary,5
dublin-1997,1997,Points given,iceland,sweden,4
dublin-1997,1997,Points given,iceland,slovenia,3
dublin-1997,1997,Points given,iceland,estonia,2
dublin-1997,1997,Points given,iceland,italy,1
oslo-1996,1996,Points given,turkey,ireland,12
oslo-1996,1996,Points given,turkey,malta,10
oslo-1996,1996,Points given,turkey,croatia,8
oslo-1996,1996,Points given,turkey,poland,7
oslo-1996,1996,Points given,turkey,bosnia & herzegovina,6
oslo-1996,1996,Points given,turkey,portugal,5
oslo-1996,1996,Points given,turkey,austria,4
oslo-1996,1996,Points given,turkey,united kingdom,3
oslo-1996,1996,Points given,turkey,norway,2
oslo-1996,1996,Points given,turkey,the netherlands,1
oslo-1996,1996,Points given,united-kingdom,cyprus,12
oslo-1996,1996,Points given,united-kingdom,estonia,10
oslo-1996,1996,Points given,united-kingdom,norway,8
oslo-1996,1996,Points given,united-kingdom,greece,7
oslo-1996,1996,Points given,united-kingdom,turkey,6
oslo-1996,1996,Points given,united-kingdom,belgium,5
oslo-1996,1996,Points given,united-kingdom,croatia,4
oslo-1996,1996,Points given,united-kingdom,switzerland,3
oslo-1996,1996,Points given,united-kingdom,portugal,2
oslo-1996,1996,Points given,united-kingdom,france,1
oslo-1996,1996,Points given,spain,belgium,12
oslo-1996,1996,Points given,spain,malta,10
oslo-1996,1996,Points given,spain,turkey,8
oslo-1996,1996,Points given,spain,cyprus,7
oslo-1996,1996,Points given,spain,the netherlands,6
oslo-1996,1996,Points given,spain,croatia,5
oslo-1996,1996,Points given,spain,estonia,4
oslo-1996,1996,Points given,spain,iceland,3
oslo-1996,1996,Points given,spain,slovakia,2
oslo-1996,1996,Points given,spain,slovenia,1
oslo-1996,1996,Points given,portugal,united kingdom,12
oslo-1996,1996,Points given,portugal,croatia,10
oslo-1996,1996,Points given,portugal,ireland,8
oslo-1996,1996,Points given,portugal,the netherlands,7
oslo-1996,1996,Points given,portugal,iceland,6
oslo-1996,1996,Points given,portugal,austria,5
oslo-1996,1996,Points given,portugal,sweden,4
oslo-1996,1996,Points given,portugal,cyprus,3
oslo-1996,1996,Points given,portugal,norway,2
oslo-1996,1996,Points given,portugal,france,1
oslo-1996,1996,Points given,cyprus,portugal,12
oslo-1996,1996,Points given,cyprus,greece,10
oslo-1996,1996,Points given,cyprus,croatia,8
oslo-1996,1996,Points given,cyprus,estonia,7
oslo-1996,1996,Points given,cyprus,ireland,6
oslo-1996,1996,Points given,cyprus,the netherlands,5
oslo-1996,1996,Points given,cyprus,poland,4
oslo-1996,1996,Points given,cyprus,norway,3
oslo-1996,1996,Points given,cyprus,spain,2
oslo-1996,1996,Points given,cyprus,united kingdom,1
oslo-1996,1996,Points given,malta,austria,12
oslo-1996,1996,Points given,malta,turkey,10
oslo-1996,1996,Points given,malta,slovakia,8
oslo-1996,1996,Points given,malta,croatia,7
oslo-1996,1996,Points given,malta,united kingdom,6
oslo-1996,1996,Points given,malta,spain,5
oslo-1996,1996,Points given,malta,ireland,4
oslo-1996,1996,Points given,malta,bosnia & herzegovina,3
oslo-1996,1996,Points given,malta,cyprus,2
oslo-1996,1996,Points given,malta,greece,1
oslo-1996,1996,Points given,croatia,malta,12
oslo-1996,1996,Points given,croatia,portugal,10
oslo-1996,1996,Points given,croatia,cyprus,8
oslo-1996,1996,Points given,croatia,united kingdom,7
oslo-1996,1996,Points given,croatia,slovenia,6
oslo-1996,1996,Points given,croatia,norway,5
oslo-1996,1996,Points given,croatia,spain,4
oslo-1996,1996,Points given,croatia,bosnia & herzegovina,3
oslo-1996,1996,Points given,croatia,belgium,2
oslo-1996,1996,Points given,croatia,turkey,1
oslo-1996,1996,Points given,austria,the netherlands,12
oslo-1996,1996,Points given,austria,sweden,10
oslo-1996,1996,Points given,austria,norway,8
oslo-1996,1996,Points given,austria,ireland,7
oslo-1996,1996,Points given,austria,iceland,6
oslo-1996,1996,Points given,austria,estonia,5
oslo-1996,1996,Points given,austria,poland,4
oslo-1996,1996,Points given,austria,united kingdom,3
oslo-1996,1996,Points given,austria,cyprus,2
oslo-1996,1996,Points given,austria,portugal,1
oslo-1996,1996,Points given,switzerland,ireland,12
oslo-1996,1996,Points given,switzerland,portugal,10
oslo-1996,1996,Points given,switzerland,sweden,8
oslo-1996,1996,Points given,switzerland,norway,7
oslo-1996,1996,Points given,switzerland,turkey,6
oslo-1996,1996,Points given,switzerland,cyprus,5
oslo-1996,1996,Points given,switzerland,united kingdom,4
oslo-1996,1996,Points given,switzerland,the netherlands,3
oslo-1996,1996,Points given,switzerland,greece,2
oslo-1996,1996,Points given,switzerland,croatia,1
oslo-1996,1996,Points given,greece,cyprus,12
oslo-1996,1996,Points given,greece,ireland,10
oslo-1996,1996,Points given,greece,malta,8
oslo-1996,1996,Points given,greece,poland,7
oslo-1996,1996,Points given,greece,spain,6
oslo-1996,1996,Points given,greece,portugal,5
oslo-1996,1996,Points given,greece,slovakia,4
oslo-1996,1996,Points given,greece,iceland,3
oslo-1996,1996,Points given,greece,austria,2
oslo-1996,1996,Points given,greece,croatia,1
oslo-1996,1996,Points given,estonia,ireland,12
oslo-1996,1996,Points given,estonia,sweden,10
oslo-1996,1996,Points given,estonia,iceland,8
oslo-1996,1996,Points given,estonia,austria,7
oslo-1996,1996,Points given,estonia,croatia,6
oslo-1996,1996,Points given,estonia,norway,5
oslo-1996,1996,Points given,estonia,the netherlands,4
oslo-1996,1996,Points given,estonia,france,3
oslo-1996,1996,Points given,estonia,united kingdom,2
oslo-1996,1996,Points given,estonia,belgium,1
oslo-1996,1996,Points given,norway,portugal,12
oslo-1996,1996,Points given,norway,ireland,10
oslo-1996,1996,Points given,norway,estonia,8
oslo-1996,1996,Points given,norway,croatia,7
oslo-1996,1996,Points given,norway,sweden,6
oslo-1996,1996,Points given,norway,iceland,5
oslo-1996,1996,Points given,norway,france,4
oslo-1996,1996,Points given,norway,greece,3
oslo-1996,1996,Points given,norway,finland,2
oslo-1996,1996,Points given,norway,malta,1
oslo-1996,1996,Points given,france,austria,12
oslo-1996,1996,Points given,france,the netherlands,10
oslo-1996,1996,Points given,france,united kingdom,8
oslo-1996,1996,Points given,france,norway,7
oslo-1996,1996,Points given,france,ireland,6
oslo-1996,1996,Points given,france,portugal,5
oslo-1996,1996,Points given,france,turkey,4
oslo-1996,1996,Points given,france,sweden,3
oslo-1996,1996,Points given,france,cyprus,2
oslo-1996,1996,Points given,france,estonia,1
oslo-1996,1996,Points given,slovenia,ireland,12
oslo-1996,1996,Points given,slovenia,norway,10
oslo-1996,1996,Points given,slovenia,estonia,8
oslo-1996,1996,Points given,slovenia,sweden,7
oslo-1996,1996,Points given,slovenia,iceland,6
oslo-1996,1996,Points given,slovenia,the netherlands,5
oslo-1996,1996,Points given,slovenia,malta,4
oslo-1996,1996,Points given,slovenia,croatia,3
oslo-1996,1996,Points given,slovenia,switzerland,2
oslo-1996,1996,Points given,slovenia,austria,1
oslo-1996,1996,Points given,the-netherlands,ireland,12
oslo-1996,1996,Points given,the-netherlands,norway,10
oslo-1996,1996,Points given,the-netherlands,sweden,8
oslo-1996,1996,Points given,the-netherlands,turkey,7
oslo-1996,1996,Points given,the-netherlands,portugal,6
oslo-1996,1996,Points given,the-netherlands,croatia,5
oslo-1996,1996,Points given,the-netherlands,switzerland,4
oslo-1996,1996,Points given,the-netherlands,estonia,3
oslo-1996,1996,Points given,the-netherlands,belgium,2
oslo-1996,1996,Points given,the-netherlands,greece,1
oslo-1996,1996,Points given,belgium,united kingdom,12
oslo-1996,1996,Points given,belgium,sweden,10
oslo-1996,1996,Points given,belgium,norway,8
oslo-1996,1996,Points given,belgium,france,7
oslo-1996,1996,Points given,belgium,portugal,6
oslo-1996,1996,Points given,belgium,turkey,5
oslo-1996,1996,Points given,belgium,croatia,4
oslo-1996,1996,Points given,belgium,ireland,3
oslo-1996,1996,Points given,belgium,switzerland,2
oslo-1996,1996,Points given,belgium,the netherlands,1
oslo-1996,1996,Points given,ireland,sweden,12
oslo-1996,1996,Points given,ireland,iceland,10
oslo-1996,1996,Points given,ireland,austria,8
oslo-1996,1996,Points given,ireland,norway,7
oslo-1996,1996,Points given,ireland,croatia,6
oslo-1996,1996,Points given,ireland,the netherlands,5
oslo-1996,1996,Points given,ireland,switzerland,4
oslo-1996,1996,Points given,ireland,united kingdom,3
oslo-1996,1996,Points given,ireland,estonia,2
oslo-1996,1996,Points given,ireland,cyprus,1
oslo-1996,1996,Points given,finland,estonia,12
oslo-1996,1996,Points given,finland,ireland,10
oslo-1996,1996,Points given,finland,sweden,8
oslo-1996,1996,Points given,finland,norway,7
oslo-1996,1996,Points given,finland,cyprus,6
oslo-1996,1996,Points given,finland,turkey,5
oslo-1996,1996,Points given,finland,switzerland,4
oslo-1996,1996,Points given,finland,portugal,3
oslo-1996,1996,Points given,finland,france,2
oslo-1996,1996,Points given,finland,bosnia & herzegovina,1
oslo-1996,1996,Points given,iceland,estonia,12
oslo-1996,1996,Points given,iceland,portugal,10
oslo-1996,1996,Points given,iceland,norway,8
oslo-1996,1996,Points given,iceland,finland,7
oslo-1996,1996,Points given,iceland,sweden,6
oslo-1996,1996,Points given,iceland,croatia,5
oslo-1996,1996,Points given,iceland,united kingdom,4
oslo-1996,1996,Points given,iceland,switzerland,3
oslo-1996,1996,Points given,iceland,the netherlands,2
oslo-1996,1996,Points given,iceland,slovenia,1
oslo-1996,1996,Points given,poland,ireland,12
oslo-1996,1996,Points given,poland,estonia,10
oslo-1996,1996,Points given,poland,austria,8
oslo-1996,1996,Points given,poland,the netherlands,7
oslo-1996,1996,Points given,poland,malta,6
oslo-1996,1996,Points given,poland,slovakia,5
oslo-1996,1996,Points given,poland,norway,4
oslo-1996,1996,Points given,poland,iceland,3
oslo-1996,1996,Points given,poland,croatia,2
oslo-1996,1996,Points given,poland,greece,1
oslo-1996,1996,Points given,slovakia,malta,12
oslo-1996,1996,Points given,slovakia,cyprus,10
oslo-1996,1996,Points given,slovakia,greece,8
oslo-1996,1996,Points given,slovakia,ireland,7
oslo-1996,1996,Points given,slovakia,united kingdom,6
oslo-1996,1996,Points given,slovakia,croatia,5
oslo-1996,1996,Points given,slovakia,sweden,4
oslo-1996,1996,Points given,slovakia,austria,3
oslo-1996,1996,Points given,slovakia,poland,2
oslo-1996,1996,Points given,slovakia,iceland,1
oslo-1996,1996,Points given,sweden,estonia,12
oslo-1996,1996,Points given,sweden,norway,10
oslo-1996,1996,Points given,sweden,the netherlands,8
oslo-1996,1996,Points given,sweden,ireland,7
oslo-1996,1996,Points given,sweden,united kingdom,6
oslo-1996,1996,Points given,sweden,malta,5
oslo-1996,1996,Points given,sweden,portugal,4
oslo-1996,1996,Points given,sweden,greece,3
oslo-1996,1996,Points given,sweden,cyprus,2
oslo-1996,1996,Points given,sweden,croatia,1
dublin-1995,1995,Points given,poland,norway,12
dublin-1995,1995,Points given,poland,sweden,10
dublin-1995,1995,Points given,poland,spain,8
dublin-1995,1995,Points given,poland,france,7
dublin-1995,1995,Points given,poland,greece,6
dublin-1995,1995,Points given,poland,united kingdom,5
dublin-1995,1995,Points given,poland,slovenia,4
dublin-1995,1995,Points given,poland,denmark,3
dublin-1995,1995,Points given,poland,austria,2
dublin-1995,1995,Points given,poland,cyprus,1
dublin-1995,1995,Points given,ireland,sweden,12
dublin-1995,1995,Points given,ireland,norway,10
dublin-1995,1995,Points given,ireland,slovenia,8
dublin-1995,1995,Points given,ireland,denmark,7
dublin-1995,1995,Points given,ireland,iceland,6
dublin-1995,1995,Points given,ireland,france,5
dublin-1995,1995,Points given,ireland,malta,4
dublin-1995,1995,Points given,ireland,croatia,3
dublin-1995,1995,Points given,ireland,spain,2
dublin-1995,1995,Points given,ireland,united kingdom,1
dublin-1995,1995,Points given,germany,sweden,12
dublin-1995,1995,Points given,germany,israel,10
dublin-1995,1995,Points given,germany,france,8
dublin-1995,1995,Points given,germany,denmark,7
dublin-1995,1995,Points given,germany,spain,6
dublin-1995,1995,Points given,germany,slovenia,5
dublin-1995,1995,Points given,germany,norway,4
dublin-1995,1995,Points given,germany,cyprus,3
dublin-1995,1995,Points given,germany,malta,2
dublin-1995,1995,Points given,germany,ireland,1
dublin-1995,1995,Points given,norway,denmark,12
dublin-1995,1995,Points given,norway,russia,10
dublin-1995,1995,Points given,norway,sweden,8
dublin-1995,1995,Points given,norway,croatia,7
dublin-1995,1995,Points given,norway,france,6
dublin-1995,1995,Points given,norway,cyprus,5
dublin-1995,1995,Points given,norway,poland,4
dublin-1995,1995,Points given,norway,austria,3
dublin-1995,1995,Points given,norway,iceland,2
dublin-1995,1995,Points given,norway,ireland,1
dublin-1995,1995,Points given,russia,norway,12
dublin-1995,1995,Points given,russia,denmark,10
dublin-1995,1995,Points given,russia,israel,8
dublin-1995,1995,Points given,russia,slovenia,7
dublin-1995,1995,Points given,russia,sweden,6
dublin-1995,1995,Points given,russia,ireland,5
dublin-1995,1995,Points given,russia,cyprus,4
dublin-1995,1995,Points given,russia,iceland,3
dublin-1995,1995,Points given,russia,hungary,2
dublin-1995,1995,Points given,russia,united kingdom,1
dublin-1995,1995,Points given,iceland,norway,12
dublin-1995,1995,Points given,iceland,croatia,10
dublin-1995,1995,Points given,iceland,france,8
dublin-1995,1995,Points given,iceland,denmark,7
dublin-1995,1995,Points given,iceland,poland,6
dublin-1995,1995,Points given,iceland,spain,5
dublin-1995,1995,Points given,iceland,sweden,4
dublin-1995,1995,Points given,iceland,ireland,3
dublin-1995,1995,Points given,iceland,cyprus,2
dublin-1995,1995,Points given,iceland,slovenia,1
dublin-1995,1995,Points given,austria,united kingdom,12
dublin-1995,1995,Points given,austria,france,10
dublin-1995,1995,Points given,austria,sweden,8
dublin-1995,1995,Points given,austria,denmark,7
dublin-1995,1995,Points given,austria,israel,6
dublin-1995,1995,Points given,austria,greece,5
dublin-1995,1995,Points given,austria,iceland,4
dublin-1995,1995,Points given,austria,slovenia,3
dublin-1995,1995,Points given,austria,malta,2
dublin-1995,1995,Points given,austria,belgium,1
dublin-1995,1995,Points given,spain,croatia,12
dublin-1995,1995,Points given,spain,malta,10
dublin-1995,1995,Points given,spain,greece,8
dublin-1995,1995,Points given,spain,belgium,7
dublin-1995,1995,Points given,spain,austria,6
dublin-1995,1995,Points given,spain,cyprus,5
dublin-1995,1995,Points given,spain,norway,4
dublin-1995,1995,Points given,spain,ireland,3
dublin-1995,1995,Points given,spain,turkey,2
dublin-1995,1995,Points given,spain,hungary,1
dublin-1995,1995,Points given,turkey,norway,12
dublin-1995,1995,Points given,turkey,malta,10
dublin-1995,1995,Points given,turkey,spain,8
dublin-1995,1995,Points given,turkey,croatia,7
dublin-1995,1995,Points given,turkey,denmark,6
dublin-1995,1995,Points given,turkey,ireland,5
dublin-1995,1995,Points given,turkey,austria,4
dublin-1995,1995,Points given,turkey,bosnia & herzegovina,3
dublin-1995,1995,Points given,turkey,france,2
dublin-1995,1995,Points given,turkey,sweden,1
dublin-1995,1995,Points given,croatia,malta,12
dublin-1995,1995,Points given,croatia,spain,10
dublin-1995,1995,Points given,croatia,bosnia & herzegovina,8
dublin-1995,1995,Points given,croatia,greece,7
dublin-1995,1995,Points given,croatia,russia,6
dublin-1995,1995,Points given,croatia,turkey,5
dublin-1995,1995,Points given,croatia,israel,4
dublin-1995,1995,Points given,croatia,france,3
dublin-1995,1995,Points given,croatia,slovenia,2
dublin-1995,1995,Points given,croatia,cyprus,1
dublin-1995,1995,Points given,france,united kingdom,12
dublin-1995,1995,Points given,france,norway,10
dublin-1995,1995,Points given,france,austria,8
dublin-1995,1995,Points given,france,spain,7
dublin-1995,1995,Points given,france,malta,6
dublin-1995,1995,Points given,france,greece,5
dublin-1995,1995,Points given,france,portugal,4
dublin-1995,1995,Points given,france,sweden,3
dublin-1995,1995,Points given,france,iceland,2
dublin-1995,1995,Points given,france,ireland,1
dublin-1995,1995,Points given,hungary,cyprus,12
dublin-1995,1995,Points given,hungary,france,10
dublin-1995,1995,Points given,hungary,slovenia,8
dublin-1995,1995,Points given,hungary,united kingdom,7
dublin-1995,1995,Points given,hungary,norway,6
dublin-1995,1995,Points given,hungary,israel,5
dublin-1995,1995,Points given,hungary,austria,4
dublin-1995,1995,Points given,hungary,denmark,3
dublin-1995,1995,Points given,hungary,spain,2
dublin-1995,1995,Points given,hungary,poland,1
dublin-1995,1995,Points given,belgium,spain,12
dublin-1995,1995,Points given,belgium,austria,10
dublin-1995,1995,Points given,belgium,cyprus,8
dublin-1995,1995,Points given,belgium,united kingdom,7
dublin-1995,1995,Points given,belgium,france,6
dublin-1995,1995,Points given,belgium,norway,5
dublin-1995,1995,Points given,belgium,israel,4
dublin-1995,1995,Points given,belgium,denmark,3
dublin-1995,1995,Points given,belgium,greece,2
dublin-1995,1995,Points given,belgium,turkey,1
dublin-1995,1995,Points given,united-kingdom,israel,12
dublin-1995,1995,Points given,united-kingdom,slovenia,10
dublin-1995,1995,Points given,united-kingdom,spain,8
dublin-1995,1995,Points given,united-kingdom,malta,7
dublin-1995,1995,Points given,united-kingdom,sweden,6
dublin-1995,1995,Points given,united-kingdom,austria,5
dublin-1995,1995,Points given,united-kingdom,norway,4
dublin-1995,1995,Points given,united-kingdom,cyprus,3
dublin-1995,1995,Points given,united-kingdom,turkey,2
dublin-1995,1995,Points given,united-kingdom,france,1
dublin-1995,1995,Points given,portugal,norway,12
dublin-1995,1995,Points given,portugal,united kingdom,10
dublin-1995,1995,Points given,portugal,sweden,8
dublin-1995,1995,Points given,portugal,spain,7
dublin-1995,1995,Points given,portugal,denmark,6
dublin-1995,1995,Points given,portugal,slovenia,5
dublin-1995,1995,Points given,portugal,croatia,4
dublin-1995,1995,Points given,portugal,greece,3
dublin-1995,1995,Points given,portugal,austria,2
dublin-1995,1995,Points given,portugal,poland,1
dublin-1995,1995,Points given,cyprus,greece,12
dublin-1995,1995,Points given,cyprus,spain,10
dublin-1995,1995,Points given,cyprus,israel,8
dublin-1995,1995,Points given,cyprus,norway,7
dublin-1995,1995,Points given,cyprus,malta,6
dublin-1995,1995,Points given,cyprus,croatia,5
dublin-1995,1995,Points given,cyprus,sweden,4
dublin-1995,1995,Points given,cyprus,slovenia,3
dublin-1995,1995,Points given,cyprus,france,2
dublin-1995,1995,Points given,cyprus,russia,1
dublin-1995,1995,Points given,sweden,denmark,12
dublin-1995,1995,Points given,sweden,ireland,10
dublin-1995,1995,Points given,sweden,cyprus,8
dublin-1995,1995,Points given,sweden,slovenia,7
dublin-1995,1995,Points given,sweden,iceland,6
dublin-1995,1995,Points given,sweden,united kingdom,5
dublin-1995,1995,Points given,sweden,austria,4
dublin-1995,1995,Points given,sweden,france,3
dublin-1995,1995,Points given,sweden,israel,2
dublin-1995,1995,Points given,sweden,malta,1
dublin-1995,1995,Points given,denmark,sweden,12
dublin-1995,1995,Points given,denmark,austria,10
dublin-1995,1995,Points given,denmark,iceland,8
dublin-1995,1995,Points given,denmark,united kingdom,7
dublin-1995,1995,Points given,denmark,france,6
dublin-1995,1995,Points given,denmark,cyprus,5
dublin-1995,1995,Points given,denmark,malta,4
dublin-1995,1995,Points given,denmark,bosnia & herzegovina,3
dublin-1995,1995,Points given,denmark,norway,2
dublin-1995,1995,Points given,denmark,ireland,1
dublin-1995,1995,Points given,slovenia,croatia ,12
dublin-1995,1995,Points given,slovenia,israel,10
dublin-1995,1995,Points given,slovenia,france,8
dublin-1995,1995,Points given,slovenia,norway,7
dublin-1995,1995,Points given,slovenia,denmark,6
dublin-1995,1995,Points given,slovenia,ireland,5
dublin-1995,1995,Points given,slovenia,cyprus,4
dublin-1995,1995,Points given,slovenia,turkey,3
dublin-1995,1995,Points given,slovenia,greece,2
dublin-1995,1995,Points given,slovenia,sweden,1
dublin-1995,1995,Points given,israel,spain,12
dublin-1995,1995,Points given,israel,norway,10
dublin-1995,1995,Points given,israel,greece,8
dublin-1995,1995,Points given,israel,france ,7
dublin-1995,1995,Points given,israel,cyprus,6
dublin-1995,1995,Points given,israel,united kingdom,5
dublin-1995,1995,Points given,israel,croatia,4
dublin-1995,1995,Points given,israel,slovenia,3
dublin-1995,1995,Points given,israel,austria,2
dublin-1995,1995,Points given,israel,turkey,1
dublin-1995,1995,Points given,malta,croatia,12
dublin-1995,1995,Points given,malta,greece,10
dublin-1995,1995,Points given,malta,spain,8
dublin-1995,1995,Points given,malta,turkey,7
dublin-1995,1995,Points given,malta,norway,6
dublin-1995,1995,Points given,malta,israel,5
dublin-1995,1995,Points given,malta,cyprus,4
dublin-1995,1995,Points given,malta,sweden,3
dublin-1995,1995,Points given,malta,slovenia,2
dublin-1995,1995,Points given,malta,germany,1
dublin-1995,1995,Points given,greece,norway,12
dublin-1995,1995,Points given,greece,slovenia,10
dublin-1995,1995,Points given,greece,cyprus,8
dublin-1995,1995,Points given,greece,austria,7
dublin-1995,1995,Points given,greece,spain,6
dublin-1995,1995,Points given,greece,croatia,5
dublin-1995,1995,Points given,greece,ireland,4
dublin-1995,1995,Points given,greece,poland,3
dublin-1995,1995,Points given,greece,france,2
dublin-1995,1995,Points given,greece,portugal,1
dublin-1994,1994,Points given,sweden,hungary,12
dublin-1994,1994,Points given,sweden,ireland,10
dublin-1994,1994,Points given,sweden,iceland,8
dublin-1994,1994,Points given,sweden,norway,7
dublin-1994,1994,Points given,sweden,germany,6
dublin-1994,1994,Points given,sweden,portugal,5
dublin-1994,1994,Points given,sweden,malta,4
dublin-1994,1994,Points given,sweden,france,3
dublin-1994,1994,Points given,sweden,greece,2
dublin-1994,1994,Points given,sweden,austria,1
dublin-1994,1994,Points given,finland,hungary,12
dublin-1994,1994,Points given,finland,cyprus,10
dublin-1994,1994,Points given,finland,poland,8
dublin-1994,1994,Points given,finland,ireland,7
dublin-1994,1994,Points given,finland,malta,6
dublin-1994,1994,Points given,finland,portugal,5
dublin-1994,1994,Points given,finland,greece,4
dublin-1994,1994,Points given,finland,germany,3
dublin-1994,1994,Points given,finland,bosnia & herzegovina,2
dublin-1994,1994,Points given,finland,iceland,1
dublin-1994,1994,Points given,ireland,hungary,12
dublin-1994,1994,Points given,ireland,malta,10
dublin-1994,1994,Points given,ireland,portugal,8
dublin-1994,1994,Points given,ireland,poland,7
dublin-1994,1994,Points given,ireland,iceland,6
dublin-1994,1994,Points given,ireland,germany,5
dublin-1994,1994,Points given,ireland,russia,4
dublin-1994,1994,Points given,ireland,norway,3
dublin-1994,1994,Points given,ireland,france,2
dublin-1994,1994,Points given,ireland,united kingdom,1
dublin-1994,1994,Points given,cyprus,greece,12
dublin-1994,1994,Points given,cyprus,norway,10
dublin-1994,1994,Points given,cyprus,ireland,8
dublin-1994,1994,Points given,cyprus,austria,7
dublin-1994,1994,Points given,cyprus,germany,6
dublin-1994,1994,Points given,cyprus,united kingdom,5
dublin-1994,1994,Points given,cyprus,france,4
dublin-1994,1994,Points given,cyprus,russia,3
dublin-1994,1994,Points given,cyprus,malta,2
dublin-1994,1994,Points given,cyprus,poland,1
dublin-1994,1994,Points given,iceland,ireland,12
dublin-1994,1994,Points given,iceland,hungary,10
dublin-1994,1994,Points given,iceland,portugal,8
dublin-1994,1994,Points given,iceland,germany,7
dublin-1994,1994,Points given,iceland,poland,6
dublin-1994,1994,Points given,iceland,france,5
dublin-1994,1994,Points given,iceland,russia,4
dublin-1994,1994,Points given,iceland,cyprus,3
dublin-1994,1994,Points given,iceland,sweden,2
dublin-1994,1994,Points given,iceland,norway,1
dublin-1994,1994,Points given,united-kingdom,poland ,12
dublin-1994,1994,Points given,united-kingdom,ireland,10
dublin-1994,1994,Points given,united-kingdom,portugal,8
dublin-1994,1994,Points given,united-kingdom,germany,7
dublin-1994,1994,Points given,united-kingdom,iceland,6
dublin-1994,1994,Points given,united-kingdom,russia,5
dublin-1994,1994,Points given,united-kingdom,norway,4
dublin-1994,1994,Points given,united-kingdom,austria,3
dublin-1994,1994,Points given,united-kingdom,hungary,2
dublin-1994,1994,Points given,united-kingdom,malta,1
dublin-1994,1994,Points given,croatia,ireland,12
dublin-1994,1994,Points given,croatia,germany,10
dublin-1994,1994,Points given,croatia,poland,8
dublin-1994,1994,Points given,croatia,malta,7
