Country,Year,Points_type,From,To,Points
basel,2025,Points given by the jury,denmark,sweden,7
basel,2025,Points given by the jury,denmark,finland,6
basel,2025,Points given by the jury,denmark,austria,5
basel,2025,Points given by the jury,denmark,united kingdom,4
basel,2025,Points given by the jury,denmark,israel,3
basel,2025,Points given by the jury,denmark,ukraine,2
basel,2025,Points given by the jury,denmark,armenia,1
basel,2025,Points given by televoters,estonia,sweden,12
basel,2025,Points given by televoters,estonia,finland,10
basel,2025,Points given by televoters,estonia,latvia,8
basel,2025,Points given by televoters,estonia,italy,7
basel,2025,Points given by televoters,estonia,ukraine,6
basel,2025,Points given by televoters,estonia,iceland,5
basel,2025,Points given by televoters,estonia,netherlands,4
basel,2025,Points given by televoters,estonia,germany,3
basel,2025,Points given by televoters,estonia,israel,2
basel,2025,Points given by televoters,estonia,lithuania,1
basel,2025,Points given by the jury,estonia,switzerland,12
basel,2025,Points given by the jury,estonia,finland,10
basel,2025,Points given by the jury,estonia,sweden,8
basel,2025,Points given by the jury,estonia,austria,7
basel,2025,Points given by the jury,estonia,france,6
basel,2025,Points given by the jury,estonia,united kingdom,5
basel,2025,Points given by the jury,estonia,italy,4
basel,2025,Points given by the jury,estonia,latvia,3
basel,2025,Points given by the jury,estonia,poland,2
basel,2025,Points given by the jury,estonia,netherlands,1
basel,2025,Points given by televoters,finland,sweden,12
basel,2025,Points given by televoters,finland,israel,10
basel,2025,Points given by televoters,finland,estonia,8
basel,2025,Points given by televoters,finland,austria,7
basel,2025,Points given by televoters,finland,iceland,6
basel,2025,Points given by televoters,finland,germany,5
basel,2025,Points given by televoters,finland,albania,4
basel,2025,Points given by televoters,finland,latvia,3
basel,2025,Points given by televoters,finland,ukraine,2
basel,2025,Points given by televoters,finland,lithuania,1
basel,2025,Points given by the jury,finland,austria,12
basel,2025,Points given by the jury,finland,sweden,10
basel,2025,Points given by the jury,finland,france,8
basel,2025,Points given by the jury,finland,malta,7
basel,2025,Points given by the jury,finland,switzerland,6
basel,2025,Points given by the jury,finland,united kingdom,5
basel,2025,Points given by the jury,finland,estonia,4
basel,2025,Points given by the jury,finland,greece,3
basel,2025,Points given by the jury,finland,israel,2
basel,2025,Points given by the jury,finland,germany,1
basel,2025,Points given by televoters,france,israel,12
basel,2025,Points given by televoters,france,albania,10
basel,2025,Points given by televoters,france,armenia,8
basel,2025,Points given by televoters,france,poland,7
basel,2025,Points given by televoters,france,ukraine,6
basel,2025,Points given by televoters,france,portugal,5
basel,2025,Points given by televoters,france,greece,4
basel,2025,Points given by televoters,france,italy,3
basel,2025,Points given by televoters,france,austria,2
basel,2025,Points given by televoters,france,luxembourg,1
basel,2025,Points given by the jury,france,albania,12
basel,2025,Points given by the jury,france,armenia,10
basel,2025,Points given by the jury,france,greece,8
basel,2025,Points given by the jury,france,israel,7
basel,2025,Points given by the jury,france,italy,6
basel,2025,Points given by the jury,france,spain,5
basel,2025,Points given by the jury,france,austria,4
basel,2025,Points given by the jury,france,netherlands,3
basel,2025,Points given by the jury,france,switzerland,2
basel,2025,Points given by the jury,france,poland,1
basel,2025,Points given by televoters,georgia,armenia,12
basel,2025,Points given by televoters,georgia,ukraine,10
basel,2025,Points given by televoters,georgia,estonia,8
basel,2025,Points given by televoters,georgia,israel,7
basel,2025,Points given by televoters,georgia,lithuania,6
basel,2025,Points given by televoters,georgia,austria,5
basel,2025,Points given by televoters,georgia,norway,4
basel,2025,Points given by televoters,georgia,albania,3
basel,2025,Points given by televoters,georgia,germany,2
basel,2025,Points given by televoters,georgia,sweden,1
basel,2025,Points given by the jury,georgia,italy,12
basel,2025,Points given by the jury,georgia,denmark,10
basel,2025,Points given by the jury,georgia,latvia,8
basel,2025,Points given by the jury,georgia,netherlands,7
basel,2025,Points given by the jury,georgia,ukraine,6
basel,2025,Points given by the jury,georgia,greece,5
basel,2025,Points given by the jury,georgia,switzerland,4
basel,2025,Points given by the jury,georgia,armenia,3
basel,2025,Points given by the jury,georgia,germany,2
basel,2025,Points given by the jury,georgia,israel,1
basel,2025,Points given by televoters,germany,israel,12
basel,2025,Points given by televoters,germany,greece,10
basel,2025,Points given by televoters,germany,albania,8
basel,2025,Points given by televoters,germany,poland,7
basel,2025,Points given by televoters,germany,austria,6
basel,2025,Points given by televoters,germany,sweden,5
basel,2025,Points given by televoters,germany,estonia,4
basel,2025,Points given by televoters,germany,ukraine,3
basel,2025,Points given by televoters,germany,italy,2
basel,2025,Points given by televoters,germany,iceland,1
basel,2025,Points given by the jury,germany,austria,12
basel,2025,Points given by the jury,germany,france,10
basel,2025,Points given by the jury,germany,malta,8
basel,2025,Points given by the jury,germany,switzerland,7
basel,2025,Points given by the jury,germany,greece,6
basel,2025,Points given by the jury,germany,italy,5
basel,2025,Points given by the jury,germany,sweden,4
basel,2025,Points given by the jury,germany,israel,3
basel,2025,Points given by the jury,germany,poland,2
basel,2025,Points given by the jury,germany,norway,1
basel,2025,Points given by televoters,greece,albania,12
basel,2025,Points given by televoters,greece,austria,10
basel,2025,Points given by televoters,greece,estonia,8
basel,2025,Points given by televoters,greece,israel,7
basel,2025,Points given by televoters,greece,netherlands,6
basel,2025,Points given by televoters,greece,france,5
basel,2025,Points given by televoters,greece,norway,4
basel,2025,Points given by televoters,greece,germany,3
basel,2025,Points given by televoters,greece,armenia,2
basel,2025,Points given by televoters,greece,sweden,1
basel,2025,Points given by the jury,greece,france,12
basel,2025,Points given by the jury,greece,austria,10
basel,2025,Points given by the jury,greece,netherlands,8
basel,2025,Points given by the jury,greece,sweden,7
basel,2025,Points given by the jury,greece,switzerland,6
basel,2025,Points given by the jury,greece,germany,5
basel,2025,Points given by the jury,greece,italy,4
basel,2025,Points given by the jury,greece,armenia,3
